freq	dB(S(4,1))
2.57758015000000018E9	-1.20349549392681565E1
2.58258515999999982E9	-1.19503052836586821E1
2.58759016999999947E9	-1.18673410922354883E1
2.59259518000000000E9	-1.17860178365190893E1
2.59760019000000009E9	-1.17062925233949433E1
2.60260520000000017E9	-1.16281236254802045E1
2.60761020999999982E9	-1.15514710156607836E1
2.61261521999999946E9	-1.14762959054919667E1
2.61762022999999910E9	-1.14025607871600543E1
2.62262524000000008E9	-1.13302293788208353E1
2.62763025000000017E9	-1.12592665729997976E1
2.63263525999999981E9	-1.11896383879016170E1
2.63764026999999990E9	-1.11213119214010980E1
2.64264528000000043E9	-1.10542553075526051E1
2.64765029000000052E9	-1.09884376754252777E1
2.65265529999999972E9	-1.09238291101275387E1
2.65766030999999980E9	-1.08604006158707422E1
2.66266531999999989E9	-1.07981240809342882E1
2.66767032999999953E9	-1.07369722444073235E1
2.67267533999999962E9	-1.06769186646176761E1
2.67768035000000015E9	-1.06179376890928601E1
2.68268536000000024E9	-1.05600044259996806E1
2.68769037000000033E9	-1.05030947169547417E1
2.69269537999999997E9	-1.04471851111138037E1
2.69770039000000006E9	-1.03922528404674663E1
2.70270540000000015E9	-1.03382757962777294E1
2.70771041000000068E9	-1.02852325065720906E1
2.71271541999999988E9	-1.02331021146395806E1
2.71772043000000085E9	-1.01818643584775193E1
2.72272544000000005E9	-1.01314995511136274E1
2.72773045000000014E9	-1.00819885617738092E1
2.73273545999999978E9	-1.00333127978350056E1
2.73774046999999987E9	-9.98545418752462410E0
2.74274547999999996E9	-9.93839516331939876E0
2.74775048999999960E9	-9.89211864601088386E0
2.75275550000000013E9	-9.84660802939374236E0
2.75776051000000066E9	-9.80184716555864810E0
2.76276551999999986E9	-9.75782035073512866E0
2.76777053000000040E9	-9.71451231167439211E0
2.77277554000000004E9	-9.67190819253950274E0
2.77778055000000013E9	-9.62999354226468895E0
2.78278555999999977E9	-9.58875430238120430E0
2.78779056999999941E9	-9.54817679526804142E0
2.79279558000000083E9	-9.50824771282030135E0
2.79780059000000003E9	-9.46895410549784877E0
2.80280560000000012E9	-9.43028337176314935E0
2.80781061000000021E9	-9.39222324785479756E0
2.81281561999999985E9	-9.35476179791544382E0
2.81782062999999994E9	-9.31788740443219154E0
2.82282564000000002E9	-9.28158875899372759E0
2.82783064999999967E9	-9.24585485333306600E0
2.83283565999999976E9	-9.21067497065866725E0
2.83784066999999984E9	-9.17603867725411959E0
2.84284568000000037E9	-9.14193581433318947E0
2.84785069000000046E9	-9.10835649014320659E0
2.85285570000000011E9	-9.07529107231010812E0
2.85786070999999975E9	-9.04273018040094811E0
2.86286571999999984E9	-9.01066467871769561E0
