#
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
2.1340000000000	-25.200153487082
2.1360000000000	-25.193063835143
2.1380000000000	-25.176376431091
2.1400000000000	-25.150205083862
2.1420000000000	-25.114724441579
2.1440000000000	-25.070166272852
2.1460000000000	-25.016814652033
2.1480000000000	-24.955000253719
2.1500000000000	-24.885093988093
2.1520000000000	-24.807500219537
2.1540000000000	-24.722649807229
2.1560000000000	-24.630993189852
2.1580000000000	-24.532993710033
2.1600000000000	-24.429121340729
2.1620000000000	-24.319846938868
2.1640000000000	-24.205637114022
2.1660000000000	-24.086949764245
2.1680000000000	-23.964230299239
2.1700000000000	-23.837908543918
2.1720000000000	-23.708396293776
2.1740000000000	-23.576085477263
2.1760000000000	-23.441346869336
2.1780000000000	-23.304529293890
2.1800000000000	-23.165959250126
2.1820000000000	-23.025940898312
2.1840000000000	-22.884756343155
2.1860000000000	-22.742666157273
2.1880000000000	-22.599910092658
2.1900000000000	-22.456707933841
2.1920000000000	-22.313260452564
2.1940000000000	-22.169750429600
2.1960000000000	-22.026343714987
2.1980000000000	-21.883190303030
2.2000000000000	-21.740425403033
2.2020000000000	-21.598170490780
2.2040000000000	-21.456534329244
2.2060000000000	-21.315613950043
2.2080000000000	-21.175495589593
2.2100000000000	-21.036255576017
2.2120000000000	-20.897961164526
2.2140000000000	-20.760671320323
2.2160000000000	-20.624437449146
2.2180000000000	-20.489304076376
2.2200000000000	-20.355309476226
2.2220000000000	-20.222486252999
2.2240000000000	-20.090861876656
2.2260000000000	-19.960459175187
2.2280000000000	-19.831296786335
