level	number	indep(index, 1)	GainTransducerContours[0, 0, ::]
1.33468600367363432E1	5	13	4.15371606396801774E-1 / 1.11300485095238999E2
1.33468600367363432E1	5	14	4.15364694048561400E-1 / 1.11278688349668831E2
1.33468600367363432E1	5	15	4.15359215477276145E-1 / 1.11256679343127329E2
1.33468600367363432E1	5	16	4.15355165728169595E-1 / 1.11234465297676843E2
1.33468600367363432E1	5	17	4.15352539782779218E-1 / 1.11212053438698399E2
1.33468600367363432E1	5	18	4.15351332557123420E-1 / 1.11189450994608618E2
1.33468600367363432E1	5	19	4.15351538899934525E-1 / 1.11166665196578096E2
1.33468600367363432E1	5	20	4.15353153590957280E-1 / 1.11143703278250539E2
1.33468600367363432E1	5	21	4.15356171339314706E-1 / 1.11120572475463186E2
1.33468600367363432E1	5	22	4.15360586781938323E-1 / 1.11097280025968770E2
1.33468600367363432E1	5	23	4.15366394482065271E-1 / 1.11073833169158376E2
1.33468600367363432E1	5	24	4.15373588927803006E-1 / 1.11050239145785934E2
1.33468600367363432E1	5	25	4.15382164530757780E-1 / 1.11026505197694014E2
1.33468600367363432E1	5	26	4.15392115624732128E-1 / 1.11002638567541156E2
1.33468600367363432E1	5	27	4.15403436464487097E-1 / 1.10978646498530820E2
1.33468600367363432E1	5	28	4.15416121224571189E-1 / 1.10954536234141687E2
1.33468600367363432E1	5	29	4.15430163998216440E-1 / 1.10930315017860059E2
1.33468600367363432E1	5	30	4.15445558796301206E-1 / 1.10905990092913553E2
1.33468600367363432E1	5	31	4.15462299546377878E-1 / 1.10881568702006827E2
1.33468600367363432E1	5	32	4.15480380091769153E-1 / 1.10857058087059279E2
