time	ts(Vload)
6.96022727272727337E-10	-3.92537364858101201E-2
6.99573863636363757E-10	-2.88746147101233586E-2
7.03125000000000089E-10	-1.84105086741241442E-2
7.06676136363636331E-10	-7.88511236108779823E-3
7.10227272727272840E-10	2.67537354125307614E-3
7.13778409090909172E-10	1.32419255668508962E-2
7.17329545454545414E-10	2.37827141218488514E-2
7.20880681818181834E-10	3.42634837333604469E-2
7.24431818181818254E-10	4.46482824080719531E-2
7.27982954545454675E-10	5.49004805183331168E-2
7.31534090909090828E-10	6.49839806832282907E-2
7.35085227272727337E-10	7.48644924735533301E-2
7.38636363636363669E-10	8.45107332088511143E-2
7.42187500000000089E-10	9.38954204843019014E-2
7.45738636363636331E-10	1.02995943045324290E-1
7.49289772727272929E-10	1.11794631755337415E-1
7.52840909090909172E-10	1.20278597386533281E-1
7.56392045454545681E-10	1.28439151244112493E-1
7.59943181818181746E-10	1.36270872106255991E-1
7.63494318181818254E-10	1.43770422770713679E-1
7.67045454545454319E-10	1.50935246797867273E-1
7.70596590909090828E-10	1.57762287609726393E-1
7.74147727272727337E-10	1.64246866749672704E-1
7.77698863636363669E-10	1.70381836785828100E-1
7.81250000000000000E-10	1.76157090002284766E-1
7.84801136363636598E-10	1.81559461193590810E-1
7.88352272727272929E-10	1.86573017043709610E-1
7.91903409090909172E-10	1.91179681443504812E-1
7.95454545454545681E-10	1.95360110876138737E-1
7.99005681818181746E-10	1.99094710698507171E-1
8.02556818181818166E-10	2.02364674130208799E-1
8.06107954545454852E-10	2.05152931479468625E-1
8.09659090909090828E-10	2.07444916135650725E-1
8.13210227272727337E-10	2.09229083047410835E-1
8.16761363636363491E-10	2.10497150520683807E-1
8.20312500000000178E-10	2.11244072387174064E-1
8.23863636363636331E-10	2.11467780187727206E-1
8.27414772727273018E-10	2.11168759983665844E-1
8.30965909090909349E-10	2.10349542971382375E-1
8.34517045454545681E-10	2.09014191983417819E-1
8.38068181818182012E-10	2.07167857590613469E-1
8.41619318181817988E-10	2.04816459744858337E-1
8.45170454545454675E-10	2.01966526753352404E-1
8.48721590909091184E-10	1.98625196575980523E-1
8.52272727272727337E-10	1.94800359856310612E-1
8.55823863636363669E-10	1.90500903212289940E-1
8.59374999999999822E-10	1.85736997757533473E-1
8.62926136363636331E-10	1.80520373070149054E-1
8.66477272727273018E-10	1.74864521047147314E-1
8.70028409090909172E-10	1.68784786203889858E-1
8.73579545454545325E-10	1.62298316896244610E-1
8.77130681818181834E-10	1.55423872875692948E-1
8.80681818181818166E-10	1.48181505496456567E-1
8.84232954545454675E-10	1.40592144917874662E-1
8.87784090909091006E-10	1.32677141481989391E-1
8.91335227272727160E-10	1.24457814629337249E-1
8.94886363636363491E-10	1.15955061758824218E-1
8.98437500000000000E-10	1.07189071830541249E-1
9.01988636363636331E-10	9.81791755820514211E-2
9.05539772727272840E-10	8.89438479019957740E-2
9.09090909090909172E-10	7.95008603908704092E-2


